,id,val_index,size,valuation,algo,distortion
0,1,1,5,theta0.2unitsum,serial_dictatorship,1.2449674912607214
1,2,1,5,theta0.2unitsum,ttc_matching,1.0541789766132879
2,3,1,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0541789766132879
3,4,1,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
4,5,1,5,theta0.2unitsum,modified_max_matching,1.0463292908063944
5,6,2,5,theta0.2unitsum,serial_dictatorship,1.1230125703652414
6,7,2,5,theta0.2unitsum,ttc_matching,1.2402870339610117
7,8,2,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
8,9,2,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
9,10,2,5,theta0.2unitsum,modified_max_matching,1.1230125703652414
10,11,3,5,theta0.2unitsum,serial_dictatorship,1.2519058239881338
11,12,3,5,theta0.2unitsum,ttc_matching,1.2519058239881338
12,13,3,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
13,14,3,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
14,15,3,5,theta0.2unitsum,modified_max_matching,1.0
15,16,4,5,theta0.2unitsum,serial_dictatorship,1.0812380371575079
16,17,4,5,theta0.2unitsum,ttc_matching,1.0391657641106173
17,18,4,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
18,19,4,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
19,20,4,5,theta0.2unitsum,modified_max_matching,1.1134153483137514
20,21,5,5,theta0.2unitsum,serial_dictatorship,1.215250440285576
21,22,5,5,theta0.2unitsum,ttc_matching,1.1763322126555873
22,23,5,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
23,24,5,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
24,25,5,5,theta0.2unitsum,modified_max_matching,1.0826315622290206
25,26,6,5,theta0.2unitsum,serial_dictatorship,1.0418901071386155
26,27,6,5,theta0.2unitsum,ttc_matching,1.0
27,28,6,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
28,29,6,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
29,30,6,5,theta0.2unitsum,modified_max_matching,1.2154874706300751
30,31,7,5,theta0.2unitsum,serial_dictatorship,1.047150361614485
31,32,7,5,theta0.2unitsum,ttc_matching,1.4277971336402795
32,33,7,5,theta0.2unitsum,epsilon_max_matching pareto1,1.047150361614485
33,34,7,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0075720850087666
34,35,7,5,theta0.2unitsum,modified_max_matching,1.047150361614485
35,36,8,5,theta0.2unitsum,serial_dictatorship,1.4390760047019284
36,37,8,5,theta0.2unitsum,ttc_matching,1.506938519257356
37,38,8,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0226251433112605
38,39,8,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0000000000000002
39,40,8,5,theta0.2unitsum,modified_max_matching,1.0277674644422286
40,41,9,5,theta0.2unitsum,serial_dictatorship,1.1611080468262347
41,42,9,5,theta0.2unitsum,ttc_matching,1.271849276369796
42,43,9,5,theta0.2unitsum,epsilon_max_matching pareto1,0.9999999999999999
43,44,9,5,theta0.2unitsum,epsilon_max_matching pareto0.1,0.9999999999999999
44,45,9,5,theta0.2unitsum,modified_max_matching,0.9999999999999999
45,46,10,5,theta0.2unitsum,serial_dictatorship,1.2025922285375292
46,47,10,5,theta0.2unitsum,ttc_matching,1.2025922285375292
47,48,10,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
48,49,10,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
49,50,10,5,theta0.2unitsum,modified_max_matching,1.0
50,51,11,5,theta0.2unitsum,serial_dictatorship,1.1817566892969045
51,52,11,5,theta0.2unitsum,ttc_matching,1.2690954921991973
52,53,11,5,theta0.2unitsum,epsilon_max_matching pareto1,1.017167743457609
53,54,11,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0000000000000002
54,55,11,5,theta0.2unitsum,modified_max_matching,1.2690954921991973
55,56,12,5,theta0.2unitsum,serial_dictatorship,1.2464112248568506
56,57,12,5,theta0.2unitsum,ttc_matching,1.154210863852717
57,58,12,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
58,59,12,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
59,60,12,5,theta0.2unitsum,modified_max_matching,1.154210863852717
60,61,13,5,theta0.2unitsum,serial_dictatorship,1.391504412381058
61,62,13,5,theta0.2unitsum,ttc_matching,1.1985927165672654
62,63,13,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0000000000000002
63,64,13,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0000000000000002
64,65,13,5,theta0.2unitsum,modified_max_matching,1.1985927165672654
65,66,14,5,theta0.2unitsum,serial_dictatorship,1.2112067705033451
66,67,14,5,theta0.2unitsum,ttc_matching,1.0603836928983739
67,68,14,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
68,69,14,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
69,70,14,5,theta0.2unitsum,modified_max_matching,1.0603836928983739
70,71,15,5,theta0.2unitsum,serial_dictatorship,1.120548039146384
71,72,15,5,theta0.2unitsum,ttc_matching,1.0
72,73,15,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
73,74,15,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
74,75,15,5,theta0.2unitsum,modified_max_matching,1.0243438755476324
75,76,16,5,theta0.2unitsum,serial_dictatorship,1.0
76,77,16,5,theta0.2unitsum,ttc_matching,1.0
77,78,16,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
78,79,16,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
79,80,16,5,theta0.2unitsum,modified_max_matching,1.0
80,81,17,5,theta0.2unitsum,serial_dictatorship,1.0000000000000002
81,82,17,5,theta0.2unitsum,ttc_matching,1.1199274736868299
82,83,17,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0000000000000002
83,84,17,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0000000000000002
84,85,17,5,theta0.2unitsum,modified_max_matching,1.1205882112716414
85,86,18,5,theta0.2unitsum,serial_dictatorship,1.2265020218519629
86,87,18,5,theta0.2unitsum,ttc_matching,1.0619734078357617
87,88,18,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0
88,89,18,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0
89,90,18,5,theta0.2unitsum,modified_max_matching,1.0619734078357617
90,91,19,5,theta0.2unitsum,serial_dictatorship,0.9999999999999999
91,92,19,5,theta0.2unitsum,ttc_matching,0.9999999999999999
92,93,19,5,theta0.2unitsum,epsilon_max_matching pareto1,0.9999999999999999
93,94,19,5,theta0.2unitsum,epsilon_max_matching pareto0.1,0.9999999999999999
94,95,19,5,theta0.2unitsum,modified_max_matching,0.9999999999999999
95,96,20,5,theta0.2unitsum,serial_dictatorship,1.0005965273982365
96,97,20,5,theta0.2unitsum,ttc_matching,1.0005965273982365
97,98,20,5,theta0.2unitsum,epsilon_max_matching pareto1,1.0005965273982365
98,99,20,5,theta0.2unitsum,epsilon_max_matching pareto0.1,1.0005965273982365
99,100,20,5,theta0.2unitsum,modified_max_matching,1.2748436502018143
100,101,21,5,theta0.2unitsum,serial_dictatorship,1.0
